27197888017479,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY SHOPPING"
27197888018360,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - DESEMBARQUE"
27197888019846,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - EMBARQUE"
27197888019927,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - SALVATORE FERRAGAMO"
27197888020267,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE -"
27197888020429,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - TRAVEL STAR"
27197888020690,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - TIME BOX"
27197888020771,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE -  WATCHES"
27197888020933,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE"
27197888021077,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE"
27197888021158,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE"
27197888021239,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY - MARCAS NACIONAIS"
27197888021310,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY SHOPPING"
27197888023282,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","HUDSON/ HUDSON NEWS"
27484594000100,"SIMAS COMERCIO OPTICO LTDA","CHILLI BEANS"
27484594000290,"SIMAS COMERCIO OPTICO LTDA","CHILLI BEANS"
27665324000103,"SOBRAL COFFEE GALEAO RJ CAFETERIA, DOCES, SALGADOS E SUCOS LTDA - EPP","CASA BAUDUCCO"
28145476000130,"FARMACIA INTERFARMA","AIR FARMA"
28145476000210,"FARMACIA INTERFARMA","AIR FARMA"
28906804000254,"RIO AIRPORT RESTAURANTS LIMITADA","TGI FRIDAY'S"
28906804000335,"RIO AIRPORT RESTAURANTS LIMITADA","MR.BAKER"
28906804000416,"RIO AIRPORT RESTAURANTS LIMITADA","MANIA DE CHURRASCO"
29048059000131,"FOME FOOD LANCHONETE LTDA-ME","A SAIDEIRA"
29129326000103,"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO"
29129326000286,"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO"
29129326000367,"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO"
29235115000147,"DWT FUTEBOL ARTIGOS DO VESTUÁRIO E ACESSÓRIOS ESPORTIVOS EIRELI EPP","NAÇÃO RUBRO NEGRA"
29735755000116,"NUTS GALEAO COMERCIO DE ALIMENTOS","NUTTY BAVARIAN"
29953569000315,"HLE ENTRETENIMENTO E ALIMENTAÇÃO LTDA - ME","CAFÉ + RIO"
29986179000180,"TASOS COMERCIO VAREJISTA DE CALCADOS EIRELI","CROCS"
30069314000101,"TICKET POINT BAR LANCHONETE E SERVIÇOS TURÍSTICOS LTDA. - ME","TICKET CENTER RIO DE JANEIRO"
30408320000146,"FOME FOOD LANCHONETE LTDA-ME","F.O.M.E"
31196495000108,"MASTER BRASIL FRANCHISING LTDA","CELLAIRIS"
31599606000119,"B V L R BITENCOURT COMERCIO DE JOIAS ME","EMPÓRIO DO AÇO"
31865915000193,"FABIANA NOGUEIRA PINHEIRO","MR.CHENEY"
33056292000133,"CAFÉS FINOS LTDA","PALHETA"
33398975003437,"AMSTERDAM SAUER JOALHEIROS LTDA","AMSTERDAM SAUER"
36212637000431,"AMERICAN AIRLINES INC","AMERICAN AIRLINES"
42591651108613,"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S SORVETE"
42591651179897,"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S"
60537263000166,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.","Estapar"
68393511000405,"PDOIS COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.","KOPENHAGEN"
